Date, Precipitation
2009-10-01,0.0018
2009-10-02,0.00005
2009-10-03,0
2009-10-04,0.0009
2009-10-05,0.0038
2009-10-06,0.0045
2009-10-07,0.0221
2009-10-08,0.0087
2009-10-09,0.0118
2009-10-10,0.0047
2009-10-11,0.0089
2009-10-12,0.0007
2009-10-13,0
2009-10-14,0
2009-10-15,0
2009-10-16,0.0012
2009-10-17,0.0014
2009-10-18,0
2009-10-19,0
2009-10-20,0
2009-10-21,0.00005
2009-10-22,0.0008
2009-10-23,0.00005
2009-10-24,0.0047
2009-10-25,0.00005
2009-10-26,0.0007
2009-10-27,0
2009-10-28,0
2009-10-29,0
2009-10-30,0
2009-10-31,0.0004
2009-11-01,0.0151
2009-11-02,0.0004
2009-11-03,0.0115
2009-11-04,0.005
2009-11-05,0.0067
2009-11-06,0.0003
2009-11-07,0.0023
2009-11-08,0
2009-11-09,0.00005
2009-11-10,0.0011
2009-11-11,0.0001
2009-11-12,0.0022
2009-11-13,0.0001
2009-11-14,0.0002
2009-11-15,0.0012
2009-11-16,0.0008
2009-11-17,0.00005
2009-11-18,0.0001
2009-11-19,0
2009-11-20,0.0005
2009-11-21,0.0012
2009-11-22,0.0064
2009-11-23,0.0296
2009-11-24,0.0007
2009-11-25,0.00005
2009-11-26,0.004
2009-11-27,0.0026
2009-11-28,0.012
2009-11-29,0.0002
2009-11-30,0
2009-12-01,0
2009-12-02,0.0018
2009-12-03,0.0032
2009-12-04,0.0033
2009-12-05,0.0097
2009-12-06,0.0027
2009-12-07,0.0004
2009-12-08,0.0022
2009-12-09,0.0026
2009-12-10,0.0133
2009-12-11,0.00005
2009-12-12,0
2009-12-13,0
2009-12-14,0
2009-12-15,0
2009-12-16,0.00005
2009-12-17,0.0027
2009-12-18,0.00005
2009-12-19,0.00005
2009-12-20,0.0051
2009-12-21,0.0002
2009-12-22,0.0026
2009-12-23,0
2009-12-24,0.0011
2009-12-25,0.011
2009-12-26,0.00005
2009-12-27,0.0003
2009-12-28,0.0004
2009-12-29,0.0036
2009-12-30,0.0097
2009-12-31,0.0032
2010-01-01,0.00005
2010-01-02,0.0002
2010-01-03,0.0022
2010-01-04,0.0003
2010-01-05,0.0005
2010-01-06,0
2010-01-07,0.0004
2010-01-08,0
2010-01-09,0.001
2010-01-10,0.0001
2010-01-11,0.00005
2010-01-12,0.00005
2010-01-13,0.0001
2010-01-14,0
2010-01-15,0
2010-01-16,0.0084
2010-01-17,0.0005
2010-01-18,0.0001
2010-01-19,0.0018
2010-01-20,0
2010-01-21,0.0001
2010-01-22,0
2010-01-23,0
2010-01-24,0.0005
2010-01-25,0
2010-01-26,0
2010-01-27,0.0023
2010-01-28,0.0014
2010-01-29,0.0071
2010-01-30,0.0088
2010-01-31,0.0011
2010-02-01,0.0029
2010-02-02,0.0168
2010-02-03,0.0001
2010-02-04,0.0002
2010-02-05,0.002
2010-02-06,0.0003
2010-02-07,0
2010-02-08,0
2010-02-09,0
2010-02-10,0.0008
2010-02-11,0.0002
2010-02-12,0
2010-02-13,0.00005
2010-02-14,0.0015
2010-02-15,0.0006
2010-02-16,0
2010-02-17,0.0014
2010-02-18,0.0001
2010-02-19,0
2010-02-20,0
2010-02-21,0
2010-02-22,0.0103
2010-02-23,0.0012
2010-02-24,0.0018
2010-02-25,0.0059
2010-02-26,0.0038
2010-02-27,0.0006
2010-02-28,0.0129
2010-03-01,0.0007
2010-03-02,0.0005
2010-03-03,0
2010-03-04,0
2010-03-05,0.0049
2010-03-06,0.0011
2010-03-07,0
2010-03-08,0.0002
2010-03-09,0
2010-03-10,0
2010-03-11,0.0002
2010-03-12,0.00005
2010-03-13,0
2010-03-14,0.0002
2010-03-15,0.0083
2010-03-16,0.0001
