DEZE GEGEVENS MOGEN VRIJ WORDEN GEBRUIKT MITS DE VOLGENDE BRONVERMELDING WORDT GEGEVEN:
KONINKLIJK NEDERLANDS METEOROLOGISCH INSTITUUT (KNMI)

THESE DATA CAN BE USED FREELY PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED:
ROYAL NETHERLANDS METEOROLOGICAL INSTITUTE

STN      = stationsnummer/stationnumber
YYYYMMDD = datum/date (YYYY=jaar/year MM=maand/month DD=dag/day)
RD       = 24-uur som van de neerslag in tiende millimeters van 08.00 voorafgaande dag- 08.00 UTC huidige dag/
           daily precipitation amount in 0.1 mm over the period 08.00 preceding day - 08.00 UTC present day
SX       = codecijfer sneeuwdek om 08.00 uur UTC/code for the snow cover at 08.00 UTC:

           codecijfer/code    sneeuwdikte/snow cover
           1                                    1 cm
           ...                                   ...
           996                                996 cm

           997 gebroken sneeuwdek/broken snow cover < 1 cm
           998 gebroken sneeuwdek/broken snow cover >=1 cm
           999 sneeuwhopen/snow dunes

5 spaties betekent een ontbrekende waarde/5 spaces represents a missing value

STN,YYYYMMDD,   RD,   SX,
913,19510101,   27,     ,
913,19510102,   18,     ,
913,19510103,   40,     ,
913,19510104,   12,     ,
913,19510105,    0,     ,
913,19510106,   27,     ,
913,19510107,   48,     ,
913,19510108,    0,     ,
913,19510109,   52,     ,
913,19510110,    6,     ,
913,19510111,    3,     ,
913,19510112,   98,     ,
913,19510113,    0,     ,
913,19510114,   15,     ,
913,19510115,   49,     ,
913,19510116,   33,     ,
913,19510117,   61,     ,
913,19510118,  144,     ,
913,19510119,   34,     ,
913,19510120,   61,     ,
913,19510121,   63,     ,
913,19510122,   24,     ,
913,19510123,   19,     ,
913,19510124,    1,     ,
913,19510125,    0,     ,
913,19510126,    0,     ,
913,19510127,    0,     ,
913,19510128,    2,     ,
913,19510129,    0,     ,
913,19510130,    0,     ,
913,19510131,    0,     ,
913,19510201,    0,     ,
913,19510202,    0,     ,
913,19510203,    0,     ,
913,19510204,   25,     ,
913,19510205,   25,     ,
913,19510206,    0,     ,
913,19510207,    7,     ,
913,19510208,   26,     ,
913,19510209,    8,     ,
913,19510210,    0,     ,
913,19510211,    0,     ,
913,19510212,   25,     ,
913,19510213,    1,     ,
913,19510214,    5,     ,
913,19510215,    2,     ,
913,19510216,    0,     ,
913,19510217,   31,     ,
913,19510218,  119,     ,
913,19510219,    0,     ,
913,19510220,   25,     ,
913,19510221,   69,     ,
913,19510222,    7,     ,
913,19510223,   18,     ,
913,19510224,   35,     ,
913,19510225,   12,     ,
913,19510226,    1,     ,
913,19510227,   48,     ,
913,19510228,    0,     ,
913,19510301,    0,     ,
913,19510302,   13,     ,
913,19510303,    0,     ,
913,19510304,    0,     ,
913,19510305,    0,     ,
913,19510306,    0,     ,
913,19510307,    0,     ,
913,19510308,    0,     ,
913,19510309,    0,     ,
913,19510310,    0,     ,
913,19510311,    8,     ,
913,19510312,   49,     ,
913,19510313,    7,     ,
913,19510314,   47,     ,
913,19510315,   27,     ,
913,19510316,    0,     ,
913,19510317,  106,     ,
913,19510318,   78,     ,
913,19510319,   15,     ,
913,19510320,  102,     ,
913,19510321,    5,     ,
913,19510322,    0,     ,
913,19510323,   42,     ,
