date,head
14-11-85,27.61
28-11-85,27.73
14-12-85,27.91
28-12-85,28.13
13-01-86,28.32
28-01-86,28.55
14-02-86,28.31
01-03-86,28.07
14-03-86,28.12
28-03-86,28.47
14-04-86,28.56
28-04-86,28.62
14-05-86,28.46
29-05-86,28.17
14-07-86,27.65
29-07-86,27.52
14-08-86,27.27
28-08-86,27.31
15-09-86,27.36
29-09-86,27.38
13-10-86,27.33
29-10-86,27.61
14-11-86,27.72
27-11-86,27.77
14-12-86,27.85
28-12-86,28.16
14-01-87,28.27
28-01-87,28.31
14-02-87,28.36
28-02-87,28.39
14-03-87,28.45
28-03-87,28.72
13-04-87,28.51
27-04-87,28.29
14-05-87,28.21
28-05-87,28.15
14-06-87,28.25
28-06-87,28.33
14-07-87,27.96
28-07-87,27.98
14-08-87,27.89
28-08-87,27.88
14-09-87,27.73
28-09-87,27.69
14-10-87,27.86
28-10-87,27.89
14-11-87,27.92
28-11-87,28.26
28-12-87,28.22
14-01-88,28.31
28-01-88,28.58
13-02-88,28.68
27-02-88,28.57
14-03-88,28.83
28-03-88,28.96
14-04-88,28.56
28-04-88,28.37
14-05-88,28.16
28-05-88,28.03
14-06-88,28.05
28-06-88,27.84
14-07-88,27.76
27-07-88,28.11
14-08-88,27.76
30-08-88,27.65
14-09-88,27.63
28-09-88,27.66
13-10-88,27.82
27-10-88,27.9
14-11-88,27.81
28-11-88,27.89
13-12-88,28.15
14-01-89,28.49
28-01-89,28.21
14-02-89,28.21
28-02-89,28.27
14-03-89,28.46
28-03-89,28.48
14-04-89,28.36
28-04-89,28.57
14-05-89,28.21
28-05-89,27.83
14-06-89,27.73
28-06-89,27.46
14-07-89,27.35
28-07-89,27.21
14-08-89,27.13
28-08-89,27.05
13-09-89,27.14
27-09-89,27.2
14-10-89,27.29
28-10-89,27.36
14-11-89,27.46
28-11-89,27.43
14-12-89,27.52
14-01-90,27.76
28-01-90,28
14-02-90,28.14
13-03-90,28.31
27-03-90,28.2
14-04-90,28.04
14-05-90,27.84
28-05-90,27.62
14-06-90,27.63
28-06-90,27.48
14-07-90,27.45
28-07-90,27.21
13-08-90,26.98
28-08-90,26.92
14-09-90,27.16
28-09-90,27.14
14-10-90,27.13
14-11-90,27.33
28-11-90,27.51
14-12-90,27.63
14-01-91,28.24
28-01-91,28.18
14-02-91,27.96
28-02-91,28.12
14-03-91,28.1
14-04-91,27.89
27-04-91,27.89
28-05-91,27.69
14-06-91,27.54
28-06-91,27.56
