Titel:,,,,,,,,
Gebruikersnaam:,,,,,,,,
Periode aangevraagd:,01-01-1800,tot:,14-09-15,,,,,,,
Gegevens beschikbaar:,14-11-85,tot:,28-06-15,,,,,,,
Datum: ,14-09-15,,,,,,,
Referentie:,NAP,,,,,,,

NAP:,Normaal Amsterdams Peil,,,,,,,
MV:,Maaiveld,,,,,,,
MP:,Meetpunt,,,,,,,

Locatie,Filternummer,Externe aanduiding,X-coordinaat,Y-coordinaat,Maaiveld (cm t.o.v. NAP),Datum maaiveld gemeten,Startdatum,Einddatum,Meetpunt (cm t.o.v. NAP),Meetpunt (cm t.o.v. MV),Bovenkant filter (cm t.o.v. NAP),Onderkant filter (cm t.o.v. NAP)
B58C0698,1,58CP7805,181600,359260,3017,28-10-85,28-10-85,23-08-02,3026,9,2648,2598
B58C0698,1,58CP7805,181600,359260,3017,28-10-85,23-08-02,28-06-15,3025,8,2647,2597


Locatie,Filternummer,Peildatum,Stand (cm t.o.v. MP),Stand (cm t.o.v. MV),Stand (cm t.o.v. NAP),Bijzonderheid,Opmerking,,,
B58C0698,1,14-01-97,244,235,2782,,,,,
B58C0698,1,14-02-97,205,196,2821,,,,,
B58C0698,1,28-02-97,192,183,2834,,,,,
B58C0698,1,13-03-97,206,197,2820,,,,,
B58C0698,1,27-03-97,207,198,2819,,,,,
B58C0698,1,14-04-97,220,211,2806,,,,,
B58C0698,1,14-05-97,212,203,2814,,,,,
B58C0698,1,28-05-97,217,208,2809,,,,,
B58C0698,1,13-06-97,245,236,2781,,,,,
B58C0698,1,27-06-97,250,241,2776,,,,,
B58C0698,1,29-07-97,255,246,2771,,,,,
B58C0698,1,14-08-97,289,280,2737,,,,,
B58C0698,1,27-08-97,300,291,2726,,,,,
B58C0698,1,15-09-97,295,286,2731,,,,,
B58C0698,1,29-09-97,305,296,2721,,,,,
B58C0698,1,14-10-97,288,279,2738,,,,,
B58C0698,1,29-10-97,282,273,2744,,,,,
B58C0698,1,13-11-97,280,271,2746,,,,,
B58C0698,1,27-11-97,286,277,2740,,,,,
B58C0698,1,14-12-97,267,258,2759,,,,,
B58C0698,1,14-01-98,224,215,2802,,,,,
B58C0698,1,28-01-98,225,216,2801,,,,,
B58C0698,1,14-02-98,227,218,2799,,,,,
B58C0698,1,28-02-98,228,219,2798,,,,,
B58C0698,1,14-03-98,198,189,2828,,,,,
B58C0698,1,28-03-98,207,198,2819,,,,,
B58C0698,1,14-04-98,193,184,2833,,,,,
B58C0698,1,28-04-98,192,183,2834,,,,,
B58C0698,1,14-05-98,225,216,2801,,,,,
B58C0698,1,28-05-98,233,224,2793,,,,,
B58C0698,1,15-06-98,191,182,2835,,,,,
B58C0698,1,29-06-98,207,198,2819,,,,,
B58C0698,1,15-07-98,216,207,2810,,,,,
B58C0698,1,28-07-98,235,226,2791,,,,,
B58C0698,1,13-08-98,264,255,2762,,,,,
B58C0698,1,28-08-98,265,256,2761,,,,,
B58C0698,1,14-09-98,214,205,2812,,,,,
B58C0698,1,28-09-98,212,203,2814,,,,,
B58C0698,1,14-10-98,201,192,2825,,,,,
B58C0698,1,29-10-98,178,169,2848,,,,,
B58C0698,1,15-11-98,156,147,2870,,,,,
B58C0698,1,29-11-98,160,151,2866,,,,,
B58C0698,1,14-12-98,152,143,2874,,,,,
B58C0698,1,29-12-98,155,146,2871,,,,,
B58C0698,1,14-01-99,148,139,2878,,,,,
B58C0698,1,29-01-99,150,141,2876,,,,,
B58C0698,1,15-02-99,139,130,2887,,,,,
B58C0698,1,28-02-99,137,128,2889,,,,,
B58C0698,1,15-03-99,162,153,2864,,,,,
B58C0698,1,27-03-99,157,148,2869,,,,,
B58C0698,1,15-04-99,168,159,2858,,,,,
B58C0698,1,28-04-99,190,181,2836,,,,,
B58C0698,1,14-05-99,190,181,2836,,,,,
B58C0698,1,28-05-99,235,226,2791,,,,,
B58C0698,1,14-06-99,245,236,2781,,,,,
B58C0698,1,28-06-99,263,254,2763,,,,,
B58C0698,1,14-07-99,263,254,2763,,,,,
B58C0698,1,28-07-99,296,287,2730,,,,,
B58C0698,1,14-09-99,301,292,2725,,,,,
B58C0698,1,29-09-99,296,287,2730,,,,,
B58C0698,1,14-10-99,290,281,2736,,,,,
B58C0698,1,27-10-99,296,287,2730,,,,,
B58C0698,1,28-11-99,279,270,2747,,,,,
B58C0698,1,14-12-99,253,244,2773,,,,,
B58C0698,1,28-12-99,222,213,2804,,,,,
B58C0698,1,14-01-00,219,210,2807,,,,,
