Titel:,,,,,,,,,,,
Gebruikersnaam:,,,,,,,,,,,
Periode aangevraagd:,01-01-1800,tot:,02-05-2019,,,,,,,,
Gegevens beschikbaar:,15-02-1999,tot:,19-12-2018,,,,,,,,
Datum: ,02-05-2019,,,,,,,,,,
Referentie:,NAP,,,,,,,,,,

NAP:,Normaal Amsterdams Peil,,,,,,,,,,
MV:,Maaiveld,,,,,,,,,,
MP:,Meetpunt,,,,,,,,,,

Locatie,Filternummer,Externe aanduiding,X-coordinaat,Y-coordinaat,Maaiveld (cm t.o.v. NAP),Datum maaiveld gemeten,Startdatum,Einddatum,Meetpunt (cm t.o.v. NAP),Meetpunt (cm t.o.v. MV),Bovenkant filter (cm t.o.v. NAP),Onderkant filter (cm t.o.v. NAP)
B52C2089,001,,188619,383753,3033,14-01-1999,14-01-1999,23-03-2016,3050,17,2939,2839
B52C2089,001,,188619,383753,3033,23-03-2016,23-03-2016,19-12-2018,3084,51,2990,2890


Locatie,Filternummer,Peildatum,Stand (cm t.o.v. MP),Stand (cm t.o.v. MV),Stand (cm t.o.v. NAP),Bijzonderheid,Opmerking,,,
B52C2089,001,15-02-1999,88,71,2962,,,,,,
B52C2089,001,01-03-1999,76,59,2974,,,,,,
B52C2089,001,17-03-1999,86,69,2964,,,,,,
B52C2089,001,29-03-1999,85,68,2965,,,,,,
B52C2089,001,14-04-1999,88,71,2962,,,,,,
B52C2089,001,29-04-1999,100,83,2950,,,,,,
B52C2089,001,17-05-1999,101,84,2949,,,,,,
B52C2089,001,28-05-1999,105,88,2945,,,,,,
B52C2089,001,14-06-1999,103,86,2947,,,,,,
B52C2089,001,28-06-1999,111,94,2939,,,,,,
B52C2089,001,14-07-1999,69,52,2981,,,,,,
B52C2089,001,28-07-1999,125,108,2925,,,,,,
B52C2089,001,16-08-1999,76,59,2974,,,,,,
B52C2089,001,30-08-1999,109,92,2941,,,,,,
B52C2089,001,14-09-1999,115,98,2935,,,,,,
B52C2089,001,28-09-1999,117,100,2933,,,,,,
B52C2089,001,15-10-1999,119,102,2931,,,,,,
B52C2089,001,28-10-1999,123,106,2927,,,,,,
B52C2089,001,17-11-1999,115,98,2935,,,,,,
B52C2089,001,30-11-1999,110,93,2940,,,,,,
B52C2089,001,14-01-2000,66,49,2984,,,,,,
B52C2089,001,28-01-2000,72,55,2978,,,,,,
B52C2089,001,28-02-2000,66,49,2984,,,,,,
B52C2089,001,14-03-2000,67,50,2983,,,,,,
B52C2089,001,28-03-2000,71,54,2979,,,,,,
B52C2089,001,14-04-2000,82,65,2968,,,,,,
B52C2089,001,28-04-2000,81,64,2969,,,,,,
B52C2089,001,15-05-2000,87,70,2963,,,,,,
B52C2089,001,29-05-2000,85,68,2965,,,,,,
B52C2089,001,14-06-2000,88,71,2962,,,,,,
B52C2089,001,26-06-2000,94,77,2956,,,,,,
B52C2089,001,14-07-2000,102,85,2948,,,,,,
B52C2089,001,28-07-2000,99,82,2951,,,,,,
B52C2089,001,14-08-2000,104,87,2946,,,,,,
B52C2089,001,28-08-2000,103,86,2947,,,,,,
B52C2089,001,13-09-2000,103,86,2947,,,,,,
B52C2089,001,27-09-2000,110,93,2940,,,,,,
B52C2089,001,13-10-2000,101,84,2949,,,,,,
B52C2089,001,27-10-2000,97,80,2953,,,,,,
B52C2089,001,14-11-2000,69,52,2981,,,,,,
B52C2089,001,28-11-2000,67,50,2983,,,,,,
B52C2089,001,14-12-2000,68,51,2982,,,,,,
B52C2089,001,02-01-2001,66,49,2984,,,,,,
B52C2089,001,15-01-2001,86,69,2964,,,,,,
B52C2089,001,29-01-2001,53,36,2997,,,,,,
B52C2089,001,14-02-2001,60,43,2990,,,,,,
B52C2089,001,01-03-2001,58,41,2992,,,,,,
B52C2089,001,14-03-2001,54,37,2996,,,,,,
B52C2089,001,26-04-2001,85,68,2965,,,,,,
B52C2089,001,14-05-2001,107,90,2943,,,,,,
B52C2089,001,15-05-2001,97,80,2953,,,,,,
B52C2089,001,28-05-2001,104,87,2946,,,,,,
B52C2089,001,29-06-2001,111,94,2939,,,,,,
B52C2089,001,13-07-2001,154,137,2896,,,,,,
B52C2089,001,27-07-2001,119,102,2931,,,,,,
B52C2089,001,14-08-2001,117,100,2933,,,,,,
B52C2089,001,28-08-2001,115,98,2935,,,,,,
B52C2089,001,14-09-2001,108,91,2942,,,,,,
B52C2089,001,28-09-2001,95,78,2955,,,,,,
B52C2089,001,14-11-2001,104,87,2946,,,,,,
B52C2089,001,28-11-2001,97,80,2953,,,,,,
B52C2089,001,14-12-2001,98,81,2952,,,,,,
B52C2089,001,28-12-2001,81,64,2969,,,,,,
B52C2089,001,15-01-2002,89,72,2961,,,,,,
B52C2089,001,29-01-2002,61,44,2989,,,,,,
B52C2089,001,14-03-2002,92,75,2958,,,,,,
B52C2089,001,28-03-2002,95,78,2955,,,,,,
B52C2089,001,16-04-2002,103,86,2947,,,,,,
B52C2089,001,29-04-2002,96,79,2954,,,,,,
B52C2089,001,17-05-2002,94,77,2956,,,,,,
B52C2089,001,28-05-2002,98,81,2952,,,,,,
B52C2089,001,13-06-2002,107,90,2943,,,,,,
B52C2089,001,28-06-2002,112,95,2938,,,,,,
B52C2089,001,15-07-2002,106,89,2944,,,,,,
B52C2089,001,29-07-2002,105,88,2945,,,,,,
B52C2089,001,14-08-2002,107,90,2943,,,,,,
B52C2089,001,28-08-2002,97,80,2953,,,,,,
B52C2089,001,17-09-2002,106,89,2944,,,,,,
B52C2089,001,01-10-2002,110,93,2940,,,,,,
B52C2089,001,14-10-2002,108,91,2942,,,,,,
B52C2089,001,28-10-2002,116,99,2934,,,,,,
B52C2089,001,14-11-2002,84,67,2966,,,,,,
B52C2089,001,28-11-2002,93,76,2957,,,,,,
B52C2089,001,13-12-2002,100,83,2950,,,,,,
B52C2089,001,27-12-2002,88,71,2962,,,,,,
B52C2089,001,14-01-2003,94,77,2956,,,,,,
B52C2089,001,28-01-2003,92,75,2958,,,,,,
B52C2089,001,14-02-2003,92,75,2958,,,,,,
B52C2089,001,28-02-2003,101,84,2949,,,,,,
B52C2089,001,17-03-2003,95,78,2955,,,,,,
B52C2089,001,31-03-2003,104,87,2946,,,,,,
B52C2089,001,14-04-2003,108,91,2942,,,,,,
B52C2089,001,28-04-2003,109,92,2941,,,,,,
B52C2089,001,14-05-2003,108,91,2942,,,,,,
B52C2089,001,28-05-2003,98,81,2952,,,,,,
B52C2089,001,13-06-2003,93,76,2957,,,,,,
B52C2089,001,27-06-2003,113,96,2937,,,,,,
B52C2089,001,14-07-2003,114,97,2936,,,,,,
B52C2089,001,28-07-2003,129,112,2921,,,,,,
B52C2089,001,14-08-2003,144,127,2906,,,,,,
B52C2089,001,28-08-2003,151,134,2899,,,,,,
B52C2089,001,15-09-2003,143,126,2907,,,,,,
B52C2089,001,30-09-2003,140,123,2910,,,,,,
B52C2089,001,14-10-2003,133,116,2917,,,,,,
B52C2089,001,28-10-2003,127,110,2923,,,,,,
B52C2089,001,14-11-2003,123,106,2927,,,,,,
B52C2089,001,28-11-2003,114,97,2936,,,,,,
B52C2089,001,15-12-2003,106,89,2944,,,,,,
B52C2089,001,29-12-2003,96,79,2954,,,,,,
B52C2089,001,15-01-2004,124,107,2926,,,,,,
B52C2089,001,29-01-2004,126,109,2924,,,,,,
B52C2089,001,13-02-2004,119,102,2931,,,,,,
B52C2089,001,27-02-2004,127,110,2923,,,,,,
B52C2089,001,15-03-2004,128,111,2922,,,,,,
B52C2089,001,29-03-2004,131,114,2919,,,,,,
B52C2089,001,15-04-2004,136,119,2914,,,,,,
B52C2089,001,29-04-2004,143,126,2907,,,,,,
B52C2089,001,13-05-2004,137,120,2913,,,,,,
B52C2089,001,27-05-2004,143,126,2907,,,,,,
B52C2089,001,14-06-2004,143,126,2907,,,,,,
B52C2089,001,28-06-2004,149,132,2901,,,,,,
B52C2089,001,15-07-2004,148,131,2902,,,,,,
B52C2089,001,27-07-2004,140,123,2910,,,,,,
B52C2089,001,26-08-2004,145,128,2905,,,,,,
B52C2089,001,13-09-2004,172,155,2878,,,,,,
B52C2089,001,27-09-2004,150,133,2900,,,,,,
B52C2089,001,14-10-2004,148,131,2902,,,,,,
B52C2089,001,29-10-2004,149,132,2901,,,,,,
B52C2089,001,15-11-2004,140,123,2910,,,,,,
B52C2089,001,29-11-2004,127,110,2923,,,,,,
B52C2089,001,14-12-2004,134,117,2916,,,,,,
B52C2089,001,28-12-2004,127,110,2923,,,,,,
B52C2089,001,13-01-2005,129,112,2921,,,,,,
B52C2089,001,27-01-2005,122,105,2928,,,,,,
B52C2089,001,14-02-2005,110,93,2940,,,,,,
B52C2089,001,28-02-2005,121,104,2929,,,,,,
B52C2089,001,14-03-2005,125,108,2925,,,,,,
B52C2089,001,29-03-2005,129,112,2921,,,,,,
B52C2089,001,14-04-2005,133,116,2917,,,,,,
B52C2089,001,28-04-2005,135,118,2915,,,,,,
B52C2089,001,13-05-2005,134,117,2916,,,,,,
B52C2089,001,27-05-2005,137,120,2913,,,,,,
B52C2089,001,14-06-2005,138,121,2912,,,,,,
B52C2089,001,27-06-2005,151,134,2899,,,,,,
B52C2089,001,15-07-2005,152,135,2898,,,,,,
B52C2089,001,28-07-2005,157,140,2893,,,,,,
B52C2089,001,15-08-2005,149,132,2901,,,,,,
B52C2089,001,29-08-2005,150,133,2900,,,,,,
B52C2089,001,15-09-2005,158,141,2892,,,,,,
B52C2089,001,27-09-2005,162,145,2888,,,,,,
B52C2089,001,13-10-2005,162,145,2888,,,,,,
B52C2089,001,31-10-2005,163,146,2887,,,,,,
B52C2089,001,14-11-2005,161,144,2889,,,,,,
B52C2089,001,28-11-2005,149,132,2901,,,,,,
B52C2089,001,13-12-2005,142,125,2908,,,,,,
B52C2089,001,28-12-2005,136,119,2914,,,,,,
B52C2089,001,13-01-2006,135,118,2915,,,,,,
B52C2089,001,27-01-2006,134,117,2916,,,,,,
B52C2089,001,13-02-2006,135,118,2915,,,,,,
B52C2089,001,28-02-2006,121,104,2929,,,,,,
B52C2089,001,14-03-2006,118,101,2932,,,,,,
B52C2089,001,27-03-2006,123,106,2927,,,,,,
B52C2089,001,13-04-2006,123,106,2927,,,,,,
B52C2089,001,27-04-2006,129,112,2921,,,,,,
B52C2089,001,16-05-2006,135,118,2915,,,,,,
B52C2089,001,29-05-2006,128,111,2922,,,,,,
B52C2089,001,16-06-2006,130,113,2920,,,,,,
B52C2089,001,28-06-2006,136,119,2914,,,,,,
B52C2089,001,20-07-2006,164,147,2886,,,,,,
B52C2089,001,14-08-2006,171,154,2879,,,,,,
B52C2089,001,28-08-2006,152,135,2898,,,,,,
B52C2089,001,14-09-2006,144,127,2906,,,,,,
B52C2089,001,28-09-2006,146,129,2904,,,,,,
