Titel:,,,,,,,,,,,
Gebruikersnaam:,,,,,,,,,,,
Periode aangevraagd:,01-01-1800,tot:,02-05-2019,,,,,,,,
Gegevens beschikbaar:,14-01-1993,tot:,05-04-2018,,,,,,,,
Datum: ,02-05-2019,,,,,,,,,,
Referentie:,NAP,,,,,,,,,,

NAP:,Normaal Amsterdams Peil,,,,,,,,,,
MV:,Maaiveld,,,,,,,,,,
MP:,Meetpunt,,,,,,,,,,

Locatie,Filternummer,Externe aanduiding,X-coordinaat,Y-coordinaat,Maaiveld (cm t.o.v. NAP),Datum maaiveld gemeten,Startdatum,Einddatum,Meetpunt (cm t.o.v. NAP),Meetpunt (cm t.o.v. MV),Bovenkant filter (cm t.o.v. NAP),Onderkant filter (cm t.o.v. NAP)
B52D0201,001,52DP9012,193221,378361,3305,05-05-1992,05-05-1992,12-05-2016,3304,-1,3154,3054
B52D0201,001,52DP9012,193221,378361,3301,12-05-2016,12-05-2016,05-04-2018,3344,43,3204,3104


Locatie,Filternummer,Peildatum,Stand (cm t.o.v. MP),Stand (cm t.o.v. MV),Stand (cm t.o.v. NAP),Bijzonderheid,Opmerking,,,
B52D0201,001,14-01-1993,96,97,3208,,,,,,
B52D0201,001,28-01-1993,68,69,3236,,,,,,
B52D0201,001,12-02-1993,103,104,3201,,,,,,
B52D0201,001,26-02-1993,110,111,3194,,,,,,
B52D0201,001,15-03-1993,114,115,3190,,,,,,
B52D0201,001,26-03-1993,122,123,3182,,,,,,
B52D0201,001,27-04-1993,122,123,3182,,,,,,
B52D0201,001,13-05-1993,139,140,3165,,,,,,
B52D0201,001,28-05-1993,175,176,3129,,,,,,
B52D0201,001,14-06-1993,,,,D,,,,,
B52D0201,001,28-06-1993,,,,D,,,,,
B52D0201,001,13-07-1993,,,,D,,,,,
B52D0201,001,28-07-1993,183,184,3121,,,,,,
B52D0201,001,12-08-1993,183,184,3121,,,,,,
B52D0201,001,27-08-1993,199,200,3105,,,,,,
B52D0201,001,16-09-1993,162,163,3142,,,,,,
B52D0201,001,30-09-1993,123,124,3181,,,,,,
B52D0201,001,14-10-1993,92,93,3212,,,,,,
B52D0201,001,29-10-1993,114,115,3190,,,,,,
B52D0201,001,15-11-1993,92,93,3212,,,,,,
B52D0201,001,29-11-1993,110,111,3194,,,,,,
B52D0201,001,14-12-1993,70,71,3234,,,,,,
B52D0201,001,14-01-1994,82,83,3222,,,,,,
B52D0201,001,28-01-1994,78,79,3226,,,,,,
B52D0201,001,16-02-1994,107,108,3197,,,,,,
B52D0201,001,28-02-1994,101,102,3203,,,,,,
B52D0201,001,14-03-1994,103,104,3201,,,,,,
B52D0201,001,28-03-1994,83,84,3221,,,,,,
B52D0201,001,13-04-1994,89,90,3215,,,,,,
B52D0201,001,28-04-1994,114,115,3190,,,,,,
B52D0201,001,13-05-1994,130,131,3174,,,,,,
B52D0201,001,27-05-1994,130,131,3174,,,,,,
B52D0201,001,14-09-2000,204,205,3100,,,,,,
B52D0201,001,15-09-2000,204,205,3100,,,,,,
B52D0201,001,28-09-2000,207,208,3097,,,,,,
B52D0201,001,29-09-2000,207,208,3097,,,,,,
B52D0201,001,10-10-2000,170,171,3134,,,,,,
B52D0201,001,27-10-2000,157,158,3147,,,,,,
