,user,message
2018-03-22 12:18:07,user1,1
2018-03-22 12:18:19,user1,1
2018-03-22 14:39:57,user2,1
2018-03-22 14:40:03,user2,1
2018-03-22 14:45:13,user1,1
2018-03-22 17:29:51,user2,1
2018-03-22 17:29:59,user2,1
2018-03-22 18:22:55,user2,1
2018-03-22 19:11:21,user1,1
2018-03-22 20:21:13,user2,1
2018-03-22 21:36:33,user1,1
2018-03-22 21:37:09,user1,1
2018-03-23 10:12:12,user1,1
2018-03-23 10:12:27,user2,1
2018-03-23 10:12:57,user2,1
2018-03-23 10:13:28,user2,1
2018-03-23 10:16:40,user1,1
2018-03-23 10:17:09,user2,1
2018-03-23 10:17:16,user1,1
2018-03-23 10:17:33,user2,1
2018-03-23 10:27:20,user2,1
2018-03-23 10:27:27,user2,1
2018-03-23 10:27:36,user2,1
2018-03-23 10:28:33,user2,1
2018-03-23 10:45:08,user1,1
2018-03-23 12:26:53,user2,1
2018-03-24 00:39:44,user2,1
2018-03-24 00:48:21,user1,1
2018-03-24 01:02:04,user2,1
2018-03-24 01:16:58,user1,1
2018-03-24 18:59:18,user2,1
2018-03-24 19:21:23,user1,1
2018-03-25 16:08:50,user2,1
2018-03-25 16:09:06,user2,1
2018-03-25 16:12:05,user1,1
2018-03-25 16:13:20,user2,1
2018-03-25 16:13:28,user2,1
2018-03-25 16:58:40,user2,1
2018-03-25 20:39:04,user2,1
2018-03-26 12:29:19,user1,1
2018-03-26 13:44:00,user2,1
2018-03-26 13:44:11,user2,1
2018-03-26 13:43:46,user1,1
2018-03-26 13:45:41,user2,1
2018-03-26 13:45:37,user1,1
2018-03-26 13:45:38,user1,1
2018-03-26 13:45:45,user1,1
2018-03-26 13:46:17,user2,1
2018-03-26 13:47:37,user2,1
2018-03-26 20:17:43,user2,1
2018-03-26 21:50:12,user1,1
2018-03-26 21:50:44,user1,1
2018-03-26 22:39:12,user2,1
2018-03-26 22:39:21,user2,1
2018-03-26 22:56:18,user1,1
2018-03-26 22:56:25,user1,1
2018-03-26 22:56:53,user1,1
2018-03-26 22:57:04,user2,1
2018-03-26 22:57:11,user2,1
2018-03-26 22:57:36,user1,1
2018-03-26 22:57:56,user2,1
2018-03-26 22:58:08,user1,1
2018-03-26 22:58:26,user2,1
2018-03-26 23:00:29,user1,1
2018-03-26 23:00:41,user2,1
2018-03-26 23:22:03,user1,1
2018-03-26 23:22:08,user1,1
2018-03-26 23:22:15,user2,1
2018-03-27 10:05:50,user1,1
2018-03-27 10:57:46,user2,1
2018-03-27 10:59:01,user2,1
2018-03-27 21:23:21,user2,1
2018-03-27 21:26:18,user2,1
2018-03-28 11:02:23,user2,1
2018-03-28 11:02:25,user2,1
2018-03-28 11:14:11,user1,1
2018-03-29 18:47:52,user1,1
2018-03-29 18:58:21,user1,1
2018-03-29 21:05:56,user2,1
2018-03-29 21:06:13,user2,1
2018-03-29 21:06:19,user2,1
2018-03-29 21:08:39,user1,1
2018-03-29 21:09:04,user2,1
2018-03-29 22:31:34,user2,1
2018-03-29 22:33:52,user1,1
2018-03-29 22:33:53,user1,1
2018-03-29 23:46:40,user1,1
2018-03-29 23:46:57,user2,1
2018-03-29 23:47:08,user2,1
2018-03-29 23:47:23,user2,1
2018-03-29 23:48:01,user2,1
2018-03-29 23:48:37,user1,1
2018-03-30 09:07:58,user2,1
2018-03-30 10:28:05,user1,1
2018-03-30 10:28:06,user1,1
2018-03-30 11:33:46,user2,1
2018-03-30 11:34:00,user2,1
2018-03-30 11:56:57,user2,1
2018-03-30 11:57:01,user2,1
2018-03-30 11:57:14,user2,1
2018-03-30 11:57:17,user2,1
2018-03-30 11:58:12,user1,1
2018-03-30 11:58:52,user2,1
2018-03-30 11:59:30,user2,1
2018-03-30 12:00:50,user1,1
2018-03-30 12:06:02,user2,1
2018-03-30 12:06:18,user2,1
2018-03-30 12:17:19,user2,1
2018-03-31 14:06:40,user1,1
2018-03-31 14:15:10,user2,1
2018-03-31 14:42:01,user1,1
2018-04-02 13:03:08,user1,1
2018-04-02 13:11:47,user2,1
2018-04-02 13:19:41,user2,1
2018-04-02 13:20:00,user2,1
2018-04-02 13:22:18,user1,1
2018-04-02 13:22:52,user2,1
2018-04-02 13:22:59,user2,1
2018-04-02 13:23:16,user2,1
2018-04-02 23:45:33,user1,1
2018-04-03 23:45:27,user1,1
2018-04-04 00:16:35,user2,1
2018-04-04 00:16:41,user2,1
2018-04-04 00:16:53,user2,1
2018-04-04 00:25:51,user1,1
2018-04-04 13:56:25,user2,1
2018-04-04 14:03:10,user1,1
2018-04-04 14:06:15,user2,1
2018-04-04 14:39:33,user1,1
2018-04-04 14:40:29,user2,1
2018-04-04 14:42:09,user1,1
2018-04-04 14:42:23,user2,1
2018-04-04 14:43:17,user1,1
2018-04-04 14:43:53,user2,1
2018-04-04 14:44:20,user1,1
2018-04-04 14:44:58,user2,1
