,x,y
N1,71538.62,441142.57
N4,70545.79,448791.50
N5,70590.09,448741.04
N7,71573.05,441316.86
N8,71606.43,441355.23
N9,72093.82,447542.30
N11,73629.17,443161.90
N12,74396.33,448609.53
N16,75555.68,440017.85
N18,75937.82,450733.10
N20,76837.46,445084.41
N21,76995.88,451788.64
N22,77010.21,451802.05
N23,77304.99,436759.84
N25,77365.31,436801.81
N27,78212.19,456368.26
N28,78237.66,456332.34
N29,78254.55,438244.78
N33,78766.72,440877.87
N34,78793.14,446448.91
N35,78794.07,455544.31
N45,81025.05,443339.67
N46,81041.73,448024.56
N49,81681.51,440366.77
N51,82344.97,446011.57
N52,82643.49,453932.47
N55,83671.57,448746.61
N56,83708.99,452518.71
N58,84521.96,446800.25
N61,86707.83,442026.66
N62,86980.84,435661.72
N63,87003.40,435502.50
N64,87065.72,455069.66
N66,88274.96,439331.07
N67,88730.97,448026.55
N68,89231.29,443601.03
N69,91377.84,435914.11
N70,91380.92,435981.13
N72,81862.71,455334.78
N73,83418.93,456420.90
