names,x,y,w_level
N1,71538.62,441142.57,-0.360000014
N4,70545.79,448791.5,-0.360000014
N5,70590.09,448741.04,-0.479999989
N7,71573.05,441316.86,-0.360000014
N8,71606.43,441355.23,-0.469000012
N9,72093.82,447542.3,-0.465000004
N11,73629.17,443161.9,-0.481000006
N12,74396.33,448609.53,-0.451000005
N16,75555.68,440017.85,-0.44600001
N18,75937.82,450733.1,-0.453999996
N20,76837.46,445084.41,-0.446999997
N21,76995.88,451788.64,-0.465999991
N22,77010.21,451802.05,-0.419
N23,77304.99,436759.84,-0.360000014
N25,77365.31,436801.81,-0.472000003
N27,78212.19,456368.26,-0.360000014
N28,78237.66,456332.34,-0.51700002
N29,78254.55,438244.78,-0.439999998
N33,78766.72,440877.87,-0.386000007
N34,78793.14,446448.91,-0.426999986
N35,78794.07,455544.31,-0.488999993
N45,81025.05,443339.67,-0.432000011
N46,81041.73,448024.56,-0.421000004
N49,81681.51,440366.77,-0.44600001
N51,82344.97,446011.57,-0.44600001
N52,82643.49,453932.47,-0.531999992
N55,83671.57,448746.61,-0.432000011
N56,83708.99,452518.71,-0.421999991
N58,84521.96,446800.25,-0.432000011
N61,86707.83,442026.66,-0.42899999
N62,86980.84,435661.72,-0.418000013
N63,87003.4,435502.5,-0.360000014
N64,87065.72,455069.66,-0.442000002
N66,88274.96,439331.07,-0.412
N67,88730.97,448026.55,-0.416000009
N68,89231.29,443601.03,-0.428000003
N69,91377.84,435914.11,-0.360000014
N70,91380.92,435981.13,-0.428000003
N72,81862.71,455334.78,-0.43
N73,83418.93,456420.9,-0.437999994
